question,option1,option2,option3,correct_answer,category,difficulty,image
"Which island nation is known for its active volcanoes, including Eyjafjallajökull?",New Zealand,Japan,Indonesia,Iceland,Volcanoes,Medium,
The Sahara Desert is bordered by the Atlantic Ocean to the west and what sea to the north?,Red Sea,Black Sea,Baltic Sea,Mediterranean Sea,Deserts,Medium,
Which ocean is the smallest and shallowest of the world's five major oceans?,Atlantic Ocean,Indian Ocean,Southern Ocean,Arctic Ocean,Oceans,Easy,
The 'Roof of the World' refers to which high plateau in Central Asia?,Deccan Plateau,Colorado Plateau,Meseta Central,Tibetan Plateau,Landforms,Hard,
"Which is the highest mountain peak in the world?",K2,Kangchenjunga,Lhotse,Mount Everest,Mountains,Easy,
"What is the name of the highest mountain in North America?",Mount Elbert,Mount Logan,Mount Rainier,Denali,Mountains,Medium,
"Which mountain range forms the backbone of South America?",Rockies,Himalayas,Alps,Andes,Mountains,Easy,
"K2, the world's second-highest peak, is located in which mountain range?",Himalayas,Alps,Andes,Karakoram,Mountains,Medium,
"What is the highest peak in Africa?",Mount Kenya,Ruwenzori,Table Mountain,Mount Kilimanjaro,Mountains,Easy,
"Which mountain range separates Europe and Asia?",Caucasus Mountains,Alps,Pyrenees,Ural Mountains,Mountains,Medium,
"The Matterhorn is a famous mountain located in which mountain range?",Pyrenees,Rockies,Appalachian Mountains,Alps,Mountains,Easy,
"What is the highest mountain in Japan, often considered a sacred symbol?",Mount Aso,Mount Hotaka,Mount Kita,Mount Fuji,Mountains,Easy,
"Mount Blanc, the highest peak in the Alps, is located on the border of which two countries?",Germany and Austria,Italy and Switzerland,France and Germany,France and Italy,Mountains,Medium,
"Which mountain range runs along the eastern side of North America?",Rocky Mountains,Sierra Nevada,Cascades,Appalachian Mountains,Mountains,Medium,
"What is the highest peak in Oceania?",Puncak Jaya,Mount Wilhelm,Aoraki / Mount Cook,Mount Kosciuszko,Mountains,Hard,
"The Drakensberg Mountains are a major mountain range in which African country?",Kenya,Ethiopia,Morocco,South Africa,Mountains,Medium,
"Which mountain range is often referred to as the 'Roof of the World'?",Andes,Rockies,Alps,Himalayas,Mountains,Easy,
"Ben Nevis is the highest mountain in which country?",Wales,England,Northern Ireland,Scotland,Mountains,Medium,
"What is the highest point in Australia?",Mount Augustus,Uluru,Mount Ossa,Mount Kosciuszko,Mountains,Medium,
"The Caucasus Mountains are located between which two seas?",Red Sea and Black Sea,Baltic Sea and North Sea,Mediterranean Sea and Black Sea,Black Sea and Caspian Sea,Mountains,Hard,
"Which mountain is known as the 'Savage Mountain' due to its extreme difficulty for climbers?",Mount Everest,Denali,Matterhorn,K2,Mountains,Medium,
"The Pyrenees mountains form a natural border between which two European countries?",Germany and France,Italy and Switzerland,Austria and Germany,France and Spain,Mountains,Easy,
"What is the highest peak in Antarctica?",Mount Erebus,Mount Sidley,Vinson Massif,Mount Kirkpatrick,Mountains,Hard,
"The Sierra Nevada range is primarily located in which U.S. state?",Colorado,Montana,Arizona,California,Mountains,Medium,
"Which famous peak is located in Nepal and is known for its distinctive pyramid shape?",Annapurna,Manaslu,Lhotse,Ama Dablam,Mountains,Hard,
"What is the name of the mountain range that separates India from Tibet and forms the source of many major rivers?",Western Ghats,Eastern Ghats,Aravalli Range,Himalayas,Mountains,Easy,
"The Dolomites are a section of which larger mountain range?",Pyrenees,Carpathian Mountains,Apennine Mountains,Alps,Mountains,Medium,
"Which mountain is considered the highest active volcano in Europe?",Mount Etna,Stromboli,Mount Vesuvius,Mount Teide,Mountains,Hard,
"What is the highest mountain in Germany?",Zugspitze,Watzmann,Feldberg,Brocken,Mountains,Medium,
"The Atlas Mountains are located in which part of Africa?",East Africa,Central Africa,Southern Africa,Northwest Africa,Mountains,Medium,
"Which mountain range extends through parts of Canada and the United States, famous for its dramatic peaks?",Appalachian Mountains,Sierra Nevada,Cascades,Rocky Mountains,Mountains,Easy,
"Aconcagua, the highest peak in the Western Hemisphere, is located in which country?",Peru,Chile,Bolivia,Argentina,Mountains,Medium,
"What is the highest point in the United Kingdom?",Scafell Pike,Snowdon,Slieve Donard,Ben Nevis,Mountains,Medium,
"The Carpathian Mountains stretch across several countries in which part of Europe?",Western Europe,Northern Europe,Southern Europe,Central and Eastern Europe,Mountains,Hard,
"Which mountain in Tanzania is the highest free-standing mountain in the world?",Mount Meru,Mount Kenya,Mount Elgon,Mount Kilimanjaro,Mountains,Medium,
"The Deccan Plateau is bordered by which mountain ranges in India?",Aravalli and Vindhya,Satpura and Vindhya,Himalayas and Aravalli,Western and Eastern Ghats,Mountains,Hard,
"What is the name of the mountain range that includes Mont Blanc?",Dolomites,Julian Alps,Bernese Alps,Alps,Mountains,Easy,
"Mount Logan is the highest peak in which country?",United States,Greenland,Mexico,Canada,Mountains,Medium,
"Which mountain range is primarily located in New Zealand and is known for its glaciers?",Southern Alps,Tasmanian Alps,Blue Mountains,Great Dividing Range,Mountains,Medium,
"The Hindu Kush mountain range is located in which region?",Southeast Asia,East Asia,Central America,Central and South Asia,Mountains,Hard,
"What is the highest peak in Iran?",Mount Damavand,Mount Sabalan,Zard-Kuh,Alam-Kuh,Mountains,Hard,
"Which mountain range runs along the eastern coast of Australia?",Blue Mountains,Great Dividing Range,MacDonnell Ranges,Flinders Ranges,Mountains,Medium,
"The Julian Alps are located in which two countries?",Germany and Austria,Italy and Switzerland,Austria and Italy,Slovenia and Italy,Mountains,Hard,
"Mount Fuji is an active stratovolcano located on which island of Japan?",Hokkaido,Kyushu,Shikoku,Honshu,Mountains,Medium,
"What is the highest peak in Greece?",Mount Olympus,Mount Parnassus,Mount Athos,Mount Psiloritis,Mountains,Hard,
"The Scandinavian Mountains run through which two main countries?",Finland and Russia,Denmark and Sweden,Latvia and Estonia,Norway and Sweden,Mountains,Medium,
"Which mountain range is home to Machu Picchu in Peru?",Sierra Madre,Cordillera Oriental,Andes,Brazilian Highlands,Mountains,Easy,
"What is the highest peak in France (excluding overseas territories)?",Mont Aiguille,Pic du Midi,Grand Combin,Mont Blanc,Mountains,Medium,
"The Tien Shan mountains are located in which part of Asia?",Southeast Asia,East Asia,South Asia,Central Asia,Mountains,Hard,
"Which mountain is the highest in the contiguous United States?",Mount Whitney,Mount Rainier,Mount Hood,Mount Shasta,Mountains,Medium,
"The Grampian Mountains are a major mountain range in which part of the UK?",England,Wales,Northern Ireland,Scotland,Mountains,Medium,
"What is the name of the famous peak in Switzerland, known for its challenging climb and distinctive shape?",Eiger,Jungfrau,Monte Rosa,Matterhorn,Mountains,Medium,
"The Apennine Mountains form the backbone of which European country?",Spain,Greece,Portugal,Italy,Mountains,Easy,
"Which mountain range is the longest in the world?",Himalayas,Rockies,Andes,Great Dividing Range,Mountains,Medium,
"What is the longest river in the world?",Amazon River,Yangtze River,Mississippi River,Nile River,Rivers,Easy,
"The Amazon River primarily flows through which continent?",Africa,Asia,Europe,South America,Rivers,Easy,
"Which river is sacred to Hindus and flows through India and Bangladesh?",Indus River,Brahmaputra River,Yamuna River,Ganges River,Rivers,Easy,
"Which river flows through Paris, France?",Rhine,Thames,Danube,Seine,Rivers,Easy,
"Which river flows through nine countries in Central and Eastern Europe, ending in the Black Sea?",Volga River,Rhine River,Elbe River,Danube River,Rivers,Medium,
"What is the longest river in Asia?",Yellow River,Mekong River,Ganges River,Yangtze River,Rivers,Easy,
"The Okavango Delta, a unique inland delta, is found in which African country?",South Africa,Kenya,Egypt,Botswana,Rivers,Hard,
"Which river is the longest in China?",Yellow River,Mekong River,Pearl River,Yangtze River,Rivers,Easy,
"The Nile River flows into which large body of water?",Red Sea,Black Sea,Atlantic Ocean,Mediterranean Sea,Rivers,Easy,
"Which river forms a significant part of the border between the United States and Mexico?",Colorado River,Missouri River,Arkansas River,Rio Grande,Rivers,Medium,
"What is the longest river in Australia?",Murrumbidgee River,Darling River,Lachlan River,Murray River,Rivers,Medium,
"The Volga River, the longest river in Europe, flows into which sea?",Baltic Sea,North Sea,Mediterranean Sea,Caspian Sea,Rivers,Medium,
"Which river is famous for its annual salmon run in North America?",Hudson River,Colorado River,Ohio River,Columbia River,Rivers,Medium,
"The Mekong River flows through which region?",Middle East,East Africa,Eastern Europe,Southeast Asia,Rivers,Easy,
"Which river flows through London, England?",Seine River,Liffey River,Spree River,Thames River,Rivers,Easy,
"What is the name of the river that flows through Rome, Italy?",Arno River,Po River,Tiber River,Adige River,Rivers,Medium,
"The Rhine River empties into which sea?",Baltic Sea,Mediterranean Sea,Black Sea,North Sea,Rivers,Medium,
"Which river is the longest in Canada?",Mackenzie River,Yukon River,Saint Lawrence River,Fraser River,Rivers,Medium,
"The Mississippi River flows into which large body of water?",Atlantic Ocean,Pacific Ocean,Caribbean Sea,Gulf of Mexico,Rivers,Easy,
"Which river is often called the 'Mother River' of China?",Yangtze River,Pearl River,Mekong River,Yellow River,Rivers,Medium,
"What is the longest river entirely within Russia?",Ob River,Yenisei River,Lena River,Volga River,Rivers,Hard,
"The Indus River is primarily associated with which two countries?",China and Mongolia,Russia and Ukraine,Brazil and Argentina,Pakistan and India,Rivers,Medium,
"Which river flows through Vienna, Budapest, and Belgrade?",Rhine River,Elbe River,Po River,Danube River,Rivers,Easy,
"What is the name of the river that flows through Cairo, Egypt?",Euphrates River,Tigris River,Jordan River,Nile River,Rivers,Easy,
"The Paraná River is a major river in which continent?",Africa,Asia,North America,South America,Rivers,Medium,
"Which river is the longest in Germany?",Danube River,Elbe River,Main River,Rhine River,Rivers,Medium,
"The Limpopo River flows through which part of Africa, known for its iconic trees?",North Africa,East Africa,West Africa,Southern Africa,Rivers,Hard,
"What is the longest river in the Iberian Peninsula?",Guadalquivir River,Tagus River,Ebro River,Duero River,Rivers,Hard,
"The Euphrates River is historically significant and flows through which region?",East Asia,South America,North Africa,Middle East,Rivers,Medium,
"Which river flows through more capital cities than any other river in the world?",Volga River,Rhine River,Seine River,Danube River,Rivers,Hard,
"What is the main river that flows through Berlin, Germany?",Rhine River,Elbe River,Main River,Spree River,Rivers,Medium,
"The Orange River is the longest river in which southern African country?",Zimbabwe,Mozambique,Botswana,South Africa,Rivers,Hard,
"Which river is known for its annual flooding and its importance to ancient Egyptian civilization?",Tigris River,Euphrates River,Jordan River,Nile River,Rivers,Easy,
"What is the longest river in the United Kingdom?",Thames,Severn,Trent,Clyde,Rivers,Medium,
"The Lena River flows through which country?",China,Canada,United States,Russia,Rivers,Hard,
"Which river forms the natural border between Laos and Thailand?",Mekong River,Irrawaddy River,Red River,Chao Phraya River,Rivers,Hard,
"What is the longest river in France?",Seine River,Garonne River,Rhône River,Loire River,Rivers,Medium,
"The Congo River (also known as the Zaire River) is located in which continent?",Asia,South America,North America,Africa,Rivers,Easy,
"Which river, flowing through Brazil, is the second longest in South America?",Paraná River,Orinoco River,Magdalena River,Rio Negro,Rivers,Hard,
"What is the longest river in Italy?",Tiber River,Adige River,Arno River,Po River,Rivers,Medium,
"The Irrawaddy River is the most important commercial waterway in which Southeast Asian country?",Thailand,Vietnam,Cambodia,Myanmar,Rivers,Hard,
"Which river is the primary source of water for the Aral Sea (historically)?",Syr Darya,Amu Darya,Ili River,Zeravshan River,Rivers,Hard,
"What is the longest river in Scandinavia?",Dalälven,Göta älv,Glomma,Vistula,Rivers,Hard,
"The Tigris River flows through which two countries in the Middle East, along with the Euphrates?",Iran and Afghanistan,Syria and Lebanon,Saudi Arabia and Yemen,Iraq and Syria,Rivers,Medium,
"Which river is a major tributary of the Mississippi River and the longest river in North America?",Ohio River,Red River,Arkansas River,Missouri River,Rivers,Medium,
"What is the name of the river that forms the border between Poland and Germany?",Oder River,Warta River,Vistula River,Bug River,Rivers,Hard,
"The Zambezi River is famous for which natural wonder?",Angel Falls,Iguazu Falls,Niagara Falls,Victoria Falls,Rivers,Medium,
"Which river is known as the 'River of Gold' in West Africa due to historical gold trade?",Niger River,Volta River,Senegal River,Gambia River,Rivers,Hard,
"What is the longest river in Spain?",Guadiana River,Ebro River,Duero River,Tagus River,Rivers,Hard,
"The Lena River flows into which ocean?",Atlantic Ocean,Indian Ocean,Pacific Ocean,Arctic Ocean,Rivers,Medium,
